amfi_code,Sharpe Ratio,Rank
148567,1.0682238272314732,1.0
120843,0.965560651744012,2.0
148569,0.9190465356358282,3.0
120505,0.8832556184698839,4.0
119551,0.8609773262277756,5.0
149323,0.8328852279505965,6.0
100033,0.8082678003905593,7.0
118632,0.7588510310771438,8.0
119094,0.7305467735561727,9.0
101206,0.717408995989017,10.0
120504,0.7146822636441237,11.0
149324,0.7144216579881013,12.0
119598,0.7116901743847246,13.0
119552,0.6482414723266906,14.0
148568,0.6406730942266642,15.0
102885,0.5197971450361778,16.0
120503,0.5165503915082101,17.0
125497,0.5062729716095955,18.0
120506,0.40461547832920475,19.0
118635,0.39318819691240553,20.0
118633,0.3888288460001742,21.0
102887,0.3846373345033844,22.0
118634,0.29234325101099307,23.0
120841,0.25511741256223125,24.0
149322,0.2396633677728517,25.0
125498,0.13479784106103954,26.0
101207,0.052618136475855025,27.0
119093,-0.04707325681075911,28.0
120842,-0.058166811414922526,29.0
119092,-0.13100916883965188,30.0
119599,-0.13617811182970377,31.0
119095,-0.15165815861644155,32.0
102886,-0.2948889128510891,33.0
100016,-0.3210192604995431,34.0
119120,-0.7430986305648412,35.0
118636,-0.8505789759662294,36.0
100025,-1.0399413574427758,37.0
120507,-3.6501838785684795,38.0
120844,-4.000348969233409,39.0
101208,-4.650400707150914,40.0
